#"Step","Potential Energy (kJ/mole)","Temperature (K)"
150000,-10097.071854,300.28834944
300000,-11188.4542133,307.685673094
450000,-11240.9227711,295.32913017
600000,-11709.7050595,302.956743058
750000,-11924.1713397,304.904246982
900000,-12568.8096462,299.553083433
1050000,-12878.6561598,302.323598145
1200000,-12208.3446492,300.596410228
1350000,-13094.3807841,299.091075458
1500000,-12685.2356305,298.297136254
1650000,-13367.652083,298.553348699
1800000,-13131.5182152,290.248840403
1950000,-12805.9572702,302.79944246
2100000,-13289.0918551,299.958586668
2250000,-13580.5994217,302.167046893
2400000,-13743.8091114,299.4265572
2550000,-13585.8664885,300.889342145
2700000,-13932.8187279,305.76885053
2850000,-13806.5435612,302.328191001
3000000,-14132.8944113,297.896046796
3150000,-14035.6889197,293.323280957
3300000,-14067.2218757,300.237561388
3450000,-13932.8848927,304.789714841
3600000,-14030.6797842,300.109034523
3750000,-13884.4738169,304.978545369
3900000,-14000.2600389,296.53945423
4050000,-13780.9627558,295.110327804
4200000,-13912.1232063,301.806541379
4350000,-13941.8973919,299.086627319
4500000,-14276.3626823,292.540637686
4650000,-14172.4924545,298.966520906
4800000,-14202.5309217,299.869783901
4950000,-14451.7993588,303.923561453
5100000,-14405.3329845,299.265945553
5250000,-14272.8733595,302.53672201
5400000,-14329.032951,295.813985288
5550000,-14126.9476008,302.339207636
5700000,-14372.246422,301.270746989
5850000,-13874.6867892,302.364194552
6000000,-14458.4908385,307.515709865
6150000,-14767.6302299,300.084293527
6300000,-14376.9307735,306.769253647
6450000,-14801.2007619,302.791748126
6600000,-14452.8738869,302.059719312
6750000,-14793.9569964,305.243349452
6900000,-15143.365274,300.661309831
7050000,-14614.282679,301.202060166
7200000,-14508.7220547,299.374003456
7350000,-14235.5218245,306.24504754
7500000,-14613.003743,296.913458715
7650000,-14255.0769283,299.24167039
7800000,-14400.4960072,301.648459185
7950000,-14653.7803964,307.614090877
8100000,-14525.3802462,295.73830003
8250000,-14569.7087182,299.020687059
8400000,-14293.5870123,295.597035747
8550000,-14606.513602,300.452100776
8700000,-14389.9195105,304.212937706
8850000,-14727.1141699,300.886959633
9000000,-14721.9597049,299.735900698
9150000,-14604.3337049,301.145001981
9300000,-14412.1238796,301.108342506
9450000,-14575.3886166,302.319469225
9600000,-14521.928206,298.410129766
9750000,-14634.8018714,296.268962236
9900000,-15189.4076553,296.056568202
10050000,-15245.8881594,298.656899164
10200000,-15013.7467132,302.00412376
10350000,-14737.1866583,302.261425611
10500000,-15127.1064341,299.059405858
10650000,-14894.0876919,298.854976958
10800000,-15002.7612618,304.174642945
10950000,-15007.1905865,297.870845127
11100000,-14666.5765933,303.266601574
11250000,-15136.3351359,294.22454439
11400000,-15315.8980763,299.565349976
11550000,-14823.7038106,300.64056712
11700000,-15078.930602,293.875913365
11850000,-15472.1880534,303.584954831
12000000,-15152.9514165,295.770510945
12150000,-15238.8372811,300.271521411
12300000,-14873.7508569,304.368828518
12450000,-15016.476369,301.010353797
12600000,-15331.620198,299.012756101
12750000,-15105.3934688,300.34945668
12900000,-15147.7072953,305.439085444
13050000,-14979.9516268,302.072857074
13200000,-15464.2720786,302.218704144
13350000,-15007.4984849,302.34134542
13500000,-15563.2288386,301.290926565
13650000,-15558.4206711,302.496575199
13800000,-15214.0394964,305.168736543
13950000,-15424.6555997,293.069948299
14100000,-15457.5827005,297.475199904
14250000,-15015.8428739,298.569997224
14400000,-15625.4875675,301.961698063
14550000,-15544.0123417,299.264450278
14700000,-15458.5631106,302.581006099
14850000,-15275.9998827,298.977155651
15000000,-15500.7533888,299.955608306
15150000,-15154.4751419,300.402411714
15300000,-15060.9168146,303.55890701
15450000,-15716.6390113,310.117611591
15600000,-15222.5704069,297.314117874
15750000,-15455.6172751,301.325792115
15900000,-15696.4432179,298.746787817
16050000,-15520.2571707,297.416914472
16200000,-15577.2795862,302.438772074
16350000,-15851.7281626,300.37611114
16500000,-15135.1833978,297.352201781
16650000,-15185.725716,294.016409137
16800000,-15420.5528742,305.04822248
16950000,-15198.0916537,298.631103967
17100000,-15573.958201,298.604180201
17250000,-15694.1813141,296.783796685
17400000,-15477.8009933,298.930924157
17550000,-15219.5920368,298.032414977
17700000,-15777.8912591,304.328264938
17850000,-15411.7907454,307.517320955
18000000,-15240.2664846,301.450856076
18150000,-15617.7986272,294.993114468
18300000,-15316.9946578,299.23423441
18450000,-15347.4459146,301.450666673
18600000,-15572.5377374,303.505749436
18750000,-15411.9904543,298.07594748
18900000,-15368.7371777,300.903364326
19050000,-15434.6440776,299.479560067
19200000,-15585.1926182,301.967397688
19350000,-15928.6507607,303.416556188
19500000,-15310.7148345,301.49855485
19650000,-15315.2898035,296.193500529
19800000,-15516.8285301,300.724957289
19950000,-15813.339717,300.700109526
20100000,-15486.1956713,296.914198819
20250000,-15024.3116375,299.849316211
20400000,-15361.228837,302.925261004
20550000,-15798.0049609,297.7672813
20700000,-15530.2848432,300.525644057
20850000,-15757.3931896,301.664350145
21000000,-15527.9397993,296.602477155
21150000,-15631.8577364,303.073687216
21300000,-15447.7018492,295.14533965
21450000,-15114.7613952,295.813903561
21600000,-14937.5303374,295.966681523
21750000,-15319.8178765,304.088276061
21900000,-15608.1054086,305.921521867
22050000,-15320.7658853,301.643133177
22200000,-15304.8717749,306.74231558
22350000,-15599.2297784,295.714387199
22500000,-15599.3152086,299.939730206
22650000,-15419.2167989,298.327850252
22800000,-15640.9893133,304.285623446
22950000,-15570.0310701,301.613064414
23100000,-16045.4804457,306.105811162
23250000,-15611.570397,295.351854986
23400000,-15692.0632211,304.410349688
23550000,-15630.4253053,297.052650261
23700000,-15893.4560128,300.788254406
23850000,-15434.5776299,299.141098036
24000000,-15353.5021653,294.350318164
24150000,-15664.8203267,303.090892978
24300000,-15427.6558075,302.128663226
24450000,-15800.3570174,297.296207854
24600000,-15582.7810697,303.007608094
24750000,-15517.9418069,300.762398017
24900000,-16264.1413921,301.09252683
25050000,-15517.7378565,298.76764435
25200000,-15651.3977671,294.239367563
25350000,-15847.8003871,291.470340877
25500000,-15463.7078028,303.980855775
