#"Step","Potential Energy (kJ/mole)","Temperature (K)"
150000,8878.35083919,301.63435113
300000,7469.33736634,294.374195568
450000,7342.29391803,299.855720208
600000,6773.12796529,294.414152309
750000,6213.04448905,303.782369606
900000,6529.41425749,296.578321607
1050000,6281.23470929,304.244029975
1200000,5928.54136272,301.620405614
1350000,5511.63914542,307.185063998
1500000,5003.57526083,305.040930281
1650000,5265.55367632,301.154626288
1800000,5549.38653557,302.681418777
1950000,5547.42439768,302.927205836
2100000,4722.40004546,303.5545697
2250000,4694.64773813,297.419160373
2400000,4909.13683189,298.513215775
2550000,5058.90568224,299.704316087
2700000,4566.06318964,302.586090852
2850000,4307.89058658,301.235640994
3000000,5355.11705939,298.224187503
3150000,4794.85053722,297.854072162
3300000,4601.71317746,294.245252148
3450000,3923.38050919,293.612328021
3600000,4504.46716714,301.665730889
3750000,4232.04037015,302.865869114
3900000,3933.28094673,298.586619242
4050000,4346.65081325,301.245455646
4200000,3888.46238221,300.81091402
4350000,3750.96400978,304.536944609
4500000,3621.21628437,301.82214484
4650000,3613.75239372,289.294729408
4800000,3836.90310927,301.006418546
4950000,4111.35635131,302.989028334
5100000,4328.07142741,298.946366919
5250000,4045.57243376,302.117653485
5400000,4172.3198258,297.096467449
5550000,3881.38502626,300.257697799
5700000,4170.7322792,302.095045096
5850000,3552.70506154,294.949267729
6000000,3484.26877073,297.403880199
6150000,4507.84141221,298.39431522
6300000,4329.1321932,299.907147722
6450000,3877.89285429,305.962475371
6600000,4522.10722016,303.192117473
6750000,4067.16618762,300.508340071
6900000,3777.80750502,300.787711547
7050000,4397.08978043,307.646701706
7200000,3822.19196936,299.702121882
7350000,3824.01041974,300.522367063
7500000,3935.78841691,300.627762232
7650000,4283.36771882,303.526455585
7800000,3628.94992783,297.901655761
7950000,3715.75051011,306.988767796
8100000,4158.44255223,300.630964192
8250000,3606.40581805,301.451459982
8400000,3739.13530836,299.09146185
8550000,3893.10772578,301.064503949
8700000,3694.47017001,299.225619802
8850000,3793.21614664,297.253159554
9000000,4058.87903121,300.295069242
9150000,3533.78306229,295.708480554
9300000,4111.43818955,300.924984386
9450000,3520.90550894,304.051502146
9600000,3951.17754713,300.580410467
9750000,4796.64041713,303.245245223
9900000,3822.09062402,302.777684547
10050000,3329.16117411,303.548170753
10200000,3696.90854241,301.870420654
10350000,3864.73491648,300.90042844
10500000,3466.30827282,296.016946386
10650000,3722.06704044,299.075313762
10800000,4068.21010888,302.346819671
10950000,2969.6827138,301.955427848
11100000,3331.4107381,298.270091654
11250000,3416.5555794,295.703386653
11400000,3920.60726233,303.21961659
11550000,2917.66182619,302.711642767
11700000,3511.6111683,303.470606977
11850000,3723.86812854,302.038739497
12000000,3774.22165417,299.431426195
12150000,3717.35480975,298.29335676
12300000,3747.91771753,296.308363265
12450000,3633.73073149,301.436416837
12600000,3790.42626059,300.407208974
12750000,3639.51798059,306.958429606
12900000,3492.58914867,299.146217026
13050000,3114.6873133,308.335639075
13200000,3629.48980804,304.120653762
13350000,3406.72884095,297.040796101
13500000,3375.49182015,298.404179488
13650000,3735.99686308,300.74061231
13800000,3289.09128266,301.154437823
13950000,3486.83972646,302.665070434
14100000,3625.14974358,297.020698775
14250000,3589.23060656,303.913197018
14400000,3636.6298891,299.612406087
14550000,3489.52795611,304.066243076
14700000,3681.70005033,302.906945628
14850000,3094.29713138,301.323652935
15000000,3615.85638576,298.38766695
15150000,3960.71937265,300.077006773
15300000,3928.91165063,297.778051395
15450000,3304.49410218,303.578675967
15600000,3464.56621064,301.862566301
15750000,3409.67711291,303.500012047
15900000,3342.83544703,300.975075589
16050000,3618.65411719,300.509856962
16200000,3286.23776976,294.541103599
16350000,3135.82692876,299.787055174
16500000,3727.51017462,299.369695563
16650000,3328.57228413,298.507912027
16800000,3008.61421404,307.609855112
16950000,3225.27652798,299.527401154
17100000,3231.82397048,301.290546356
17250000,2844.6237117,303.159127366
17400000,3531.91155821,298.786951025
17550000,3071.11284055,302.98576465
17700000,3514.74079811,308.090605348
17850000,3056.66926829,296.835334499
18000000,2609.74578711,295.404646357
18150000,2807.27956672,298.608007829
18300000,2939.67155792,304.754030709
18450000,2391.85097884,300.875629598
18600000,2705.82617607,302.60716583
18750000,3018.83517773,299.936674548
18900000,3063.05664996,303.530318495
19050000,3340.41067116,300.581046371
19200000,2599.13413789,302.509949162
19350000,2975.10277063,303.605919922
19500000,2719.98728341,303.804954832
19650000,2582.21764451,300.310662339
19800000,3359.07771339,299.598419747
19950000,3259.51067746,301.335432825
20100000,2297.41472318,297.246204712
20250000,2748.56665775,303.94806821
20400000,2459.37200297,300.797045148
20550000,2931.46163939,306.750482023
20700000,2758.25062503,297.108822432
20850000,2766.78176699,296.299944661
21000000,2682.43825149,295.158405288
21150000,3091.47926454,295.842092358
21300000,2489.92893127,303.62988527
21450000,2488.89207778,306.355542674
21600000,2582.14270798,300.706412056
21750000,2676.929041,296.023273395
21900000,2649.18931011,303.353490687
22050000,2942.53397389,298.062836321
22200000,2229.3268488,300.790962761
22350000,3011.64141445,293.668007351
22500000,2942.48157907,297.889563617
22650000,2948.22857905,304.312141143
22800000,2045.066462,300.793571426
22950000,2437.16860473,299.722779657
23100000,2580.08087313,304.121104282
23250000,2828.24508825,299.223784955
23400000,3235.45643478,297.748331842
23550000,3349.16374523,304.113016343
23700000,2337.32569204,298.268838092
23850000,2783.82969528,301.980705238
24000000,2276.24478516,303.523650645
24150000,2879.13284383,299.975022236
24300000,2592.35187695,301.335295465
24450000,2386.91921726,294.303200885
24600000,3188.52583489,298.924402419
24750000,2393.39048637,291.792023416
24900000,2850.40682232,302.292668395
25050000,2810.40775241,300.346840548
25200000,2533.71874074,296.920352708
25350000,2884.48259896,302.096475997
25500000,3074.49898918,296.844382087
25650000,3144.39102362,298.16029889
25800000,2606.05653764,302.539295066
25950000,2447.4418967,302.630771845
26100000,2866.23514001,304.60794186
26250000,2135.16961965,299.035267855
26400000,2403.27705628,299.047477791
26550000,2300.76930038,297.649310466
26700000,2459.35936771,298.519375389
26850000,3124.8175925,297.400060451
27000000,2480.80939675,300.571052271
27150000,2531.33374438,302.4497525
27300000,2680.44484402,296.470786871
27450000,2726.09561548,298.477588997
27600000,2654.3566992,302.358480292
27750000,2589.20994607,295.325877167
27900000,2318.13797554,303.558662708
28050000,2606.12756791,297.223884559
28200000,2498.46951321,300.034527777
28350000,2339.38666443,306.378997867
28500000,2795.27409411,296.840740144
28650000,2523.15342947,298.715572544
28800000,2809.63919503,299.117847586
28950000,2294.33976486,301.228224996
29100000,2264.18404941,302.924679735
29250000,2737.90936952,307.045502778
29400000,2739.00124239,294.107453769
29550000,3279.11942729,302.551345279
29700000,2855.08147534,305.174042283
29850000,3249.01814668,298.672373626
30000000,2180.27342759,304.260802165
30150000,2452.42705949,299.417274142
30300000,2664.50275299,302.610867575
30450000,3460.04946463,302.364515073
30600000,2763.15434918,299.033026786
30750000,2754.68450606,298.730245216
30900000,3074.24324378,296.570603302
31050000,2588.13950101,298.134859315
31200000,2809.51685515,306.644841023
31350000,2417.63031599,303.945299098
31500000,2608.60654804,298.318530542
31650000,3253.60122483,302.075844641
31800000,2491.61627619,300.046755821
31950000,2626.14345598,300.884156311
32100000,2467.82584488,300.473193259
32250000,2732.63260199,301.349384004
32400000,2838.27189462,296.938405398
32550000,2719.67629858,302.608429269
32700000,2861.00364098,297.590177946
32850000,2605.58286427,301.108728637
33000000,3184.73685416,299.252814279
33150000,2607.77980201,303.075302178
33300000,2508.68404921,298.876968694
33450000,2428.72287255,299.684914607
33600000,2692.28354728,298.021768735
33750000,2884.95220494,296.746781785
33900000,2929.0628226,298.359756038
34050000,2491.74824067,301.743071602
34200000,2736.1501888,302.003917277
34350000,2687.97548684,299.566099219
34500000,2470.52380748,300.460462994
34650000,2579.42373517,301.496703251
34800000,2658.74402028,296.183471005
34950000,2986.57511145,304.70539867
35100000,2630.96678191,302.900057804
35250000,2523.58489861,302.894059247
35400000,2537.5166105,301.084315327
35550000,2705.54837211,296.674377297
35700000,2699.13650494,304.730023347
35850000,2795.48463509,296.845068521
36000000,2474.40112147,295.406124624
36150000,2327.31745231,305.110761965
36300000,2451.22486611,299.639045551
36450000,2273.38764938,298.018777477
36600000,2086.9838689,295.010702123
36750000,3096.3397275,294.299469382
36900000,2509.0860081,298.285247912
37050000,3144.73328027,300.64616846
37200000,2922.92810824,299.364682999
37350000,2657.69514031,295.23738356
37500000,2663.36356451,294.387232713
37650000,3000.50984701,306.240985907
37800000,2624.99960798,298.617102111
37950000,3002.9111658,303.378531322
38100000,2714.27273931,297.340248384
38250000,2459.40369401,297.059647821
38400000,2432.48647823,301.04031082
38550000,2929.14498519,302.300943151
38700000,2593.40964591,304.347832144
38850000,2707.56069717,301.691803556
39000000,2447.40226472,298.477811025
39150000,2752.76487981,299.98005156
39300000,2195.00728541,294.929526916
39450000,2497.03704185,302.889377049
39600000,2889.40744588,300.271813858
39750000,3030.74239584,304.466136522
39900000,2366.11594222,300.425330884
40050000,2330.83379882,297.334694444
40200000,2621.85073501,301.526272682
40350000,2426.01756592,293.855980308
40500000,2872.58019318,308.247212439
40650000,2553.0021874,296.442732511
40800000,2771.18925191,306.767157458
40950000,2664.16424652,301.396969192
41100000,2758.89070688,299.869115099
41250000,2427.44532723,300.017076189
41400000,2765.3569207,303.221259585
41550000,2868.98127314,300.141501671
41700000,2745.34960276,298.082688848
41850000,2721.051862,301.435126788
42000000,2026.57934165,304.872024565
42150000,2924.43659714,304.084277344
42300000,2292.62320061,300.595620301
42450000,2789.16420926,302.092513969
42600000,2357.05609685,304.46668938
42750000,2695.45735828,303.978880631
42900000,2750.77526384,301.090095923
43050000,3109.4539714,296.696075925
43200000,2517.70885671,292.917169956
43350000,2750.57113689,295.575105599
43500000,3076.44690927,300.76742837
43650000,2350.81756392,302.142168058
43800000,2375.57487017,299.048240226
43950000,2608.17514702,304.577193021
44100000,2263.70530137,306.246952422
44250000,2483.61919864,303.210580737
44400000,2903.58701203,300.523275639
44550000,2685.81117977,303.505604037
44700000,2652.53622912,299.314870936
44850000,2548.2775995,296.208928712
45000000,2624.80833181,298.316626934
45150000,2756.91734476,302.947121468
45300000,2725.99774284,302.393348329
45450000,2572.37217319,297.287499841
45600000,2745.69921055,295.671579268
45750000,2494.11998067,299.558942398
45900000,2689.79797809,299.465238933
46050000,2416.4132436,302.193052755
46200000,2626.55607243,302.150278108
46350000,2131.8433124,298.175188197
46500000,2543.46164097,299.185484925
46650000,2898.60198344,296.902488808
46800000,2204.98430764,295.484845887
46950000,2625.63225348,301.142367963
47100000,2548.99755813,297.596408447
47250000,2895.46409473,297.895976871
47400000,2736.04551745,300.917089814
47550000,2211.85565734,299.996766112
47700000,2416.6871788,297.510315145
47850000,1871.44527193,296.654746093
48000000,2592.05967455,296.265896254
48150000,2256.48574717,301.159050019
48300000,2904.01280799,300.056643145
48450000,2761.37777029,297.127310992
48600000,2727.45983525,300.627011985
48750000,2602.52884431,301.07621073
48900000,1961.22208071,297.922379957
49050000,2339.13619448,300.862566053
49200000,3080.51004366,301.258570883
49350000,2146.5272587,301.912370623
49500000,2626.19903675,299.076110715
49650000,2763.4825372,299.818851844
49800000,2798.01015852,300.441727874
49950000,2445.1813408,300.79439345
50100000,2112.72782858,297.348543635
50250000,2544.29925885,294.507862252
50400000,3104.99377308,297.543497937
50550000,2606.6007258,298.56111874
50700000,1939.67340516,302.773132327
50850000,2761.93708774,293.132211757
51000000,2980.74981364,300.136105306
51150000,3148.16843197,304.191068519
51300000,2874.62604617,301.204798718
51450000,2817.39296634,296.582202982
51600000,3078.93262389,295.950496559
51750000,2636.4504456,303.676843682
51900000,2816.74512528,296.871016374
52050000,2761.92535572,305.327239556
52200000,2807.21268217,300.52985901
52350000,2924.09609972,298.446328097
52500000,2243.73957979,301.191629117
52650000,2631.21839413,301.649433024
52800000,2473.3289469,300.043165735
52950000,2591.67776566,299.172111848
53100000,2516.76822594,301.3793005
53250000,2985.06746407,303.193108736
53400000,2783.83448998,298.862361981
53550000,2382.75970387,303.335705497
53700000,2445.6167046,295.934593047
53850000,2204.4533853,302.158024485
54000000,2648.69422457,294.224071252
54150000,2737.87069986,301.062995072
54300000,2316.78407144,299.938012581
54450000,2214.59096467,297.729215997
54600000,2678.80630078,300.398620646
54750000,2311.41199468,293.223909923
54900000,3007.22991289,301.277264796
55050000,2809.65729189,303.15538365
55200000,2597.46306237,298.062909688
55350000,2630.57813285,299.38211119
55500000,2258.44050359,297.251909083
55650000,2483.91561481,298.009267119
55800000,2248.49711889,297.377831437
55950000,2353.84419221,303.564906312
56100000,2338.95698423,298.017859447
56250000,2488.48965744,295.967967195
56400000,2209.79788544,302.339377979
56550000,2189.26415821,303.644930529
56700000,2126.37922351,300.1716216
56850000,2310.244661,295.498247691
57000000,2532.13449755,301.830372304
57150000,2286.96642918,296.465940085
57300000,2539.90289898,301.5757764
57450000,2309.42121742,296.81550657
57600000,2511.56735931,296.272860324
57750000,2583.12068643,294.273951736
57900000,2434.00050943,301.408147051
58050000,2121.36519952,301.950056697
58200000,2323.72621689,299.866801074
58350000,2722.99638942,300.089655965
58500000,3012.02967174,295.317350319
58650000,2220.47028394,301.060869764
58800000,2073.47119615,296.174199423
58950000,2382.75239453,297.751063103
