#"Step","Potential Energy (kJ/mole)","Temperature (K)"
150000,-20509.1824195,294.567010867
300000,-21409.2310887,299.859872466
450000,-22145.0129292,299.34895492
600000,-22251.5455152,297.461400177
750000,-22319.1626735,297.434735631
900000,-22024.2904662,303.927672703
1050000,-22609.8707988,300.382652318
1200000,-22399.4175433,300.119631375
1350000,-22358.3445733,296.16729594
1500000,-23185.1941615,294.326394367
1650000,-22956.5743083,295.97212085
1800000,-23383.7995905,299.016781331
1950000,-23164.1865436,300.749352466
2100000,-23152.4488272,304.349391133
2250000,-23552.8363673,298.198345945
2400000,-23379.2191477,299.494731239
2550000,-23275.643049,298.583071026
2700000,-23180.0789662,304.694123743
2850000,-23276.5696861,300.497235338
3000000,-23462.8784382,296.887760271
3150000,-23261.3535428,302.824054536
3300000,-23468.6874652,303.358243576
3450000,-23720.6847029,300.739919735
3600000,-23051.3299365,302.682656512
3750000,-23439.5719114,304.404373948
3900000,-23655.5471945,302.234852741
4050000,-23266.5884612,305.228902519
4200000,-23474.1562474,302.491142507
4350000,-23315.4567195,299.966761245
4500000,-23516.023018,301.743668444
4650000,-23629.5345496,300.746204992
4800000,-23553.2495946,304.24219363
4950000,-23887.0274843,296.229450656
5100000,-23281.9325603,293.210617361
5250000,-23821.5831608,303.464126079
5400000,-23778.6112135,296.673105637
5550000,-23803.1858627,297.659527913
5700000,-23576.6270779,299.002674781
5850000,-23765.2523145,291.331872765
6000000,-24081.4707402,295.343634957
6150000,-24026.5783457,301.865646624
6300000,-23983.491493,298.449523504
6450000,-24010.481388,302.628692048
6600000,-23427.8490552,294.545024504
6750000,-23484.339842,297.114462037
6900000,-23834.0537074,298.153891981
7050000,-23814.1832257,299.342168903
7200000,-24219.0130218,299.425641065
7350000,-24003.2147387,299.061197494
7500000,-24029.7947184,305.28764878
7650000,-23833.0331322,299.609118377
7800000,-23538.4864218,298.888318154
7950000,-24020.8963065,300.426655062
8100000,-23906.7447928,304.896751764
8250000,-23720.679924,298.711233652
8400000,-23907.0515155,300.12959381
8550000,-23888.1204896,304.538588263
8700000,-24549.7976426,302.505495139
8850000,-24015.2287694,299.502631586
9000000,-24300.093257,301.024271132
9150000,-24197.158112,301.211480591
9300000,-24420.2378183,300.901464245
9450000,-24544.9327293,299.395721034
9600000,-24470.0745429,299.228818
9750000,-24178.6556504,287.885845984
9900000,-24467.8640599,308.104171184
10050000,-24095.0956016,307.036520909
10200000,-24110.122133,294.957470129
10350000,-24322.725412,300.600604487
10500000,-24561.657219,300.488617278
10650000,-24351.3862967,303.469681791
10800000,-24161.2410226,298.540024162
10950000,-24401.3226508,303.121799903
11100000,-24791.6962147,302.728193885
11250000,-24293.0235834,301.197630787
11400000,-24167.9728617,309.097025123
11550000,-24125.0885768,302.78659695
11700000,-24304.3608793,303.135612169
11850000,-24047.3406109,297.710119993
12000000,-24491.3786621,302.499464557
12150000,-24157.571568,299.127064829
12300000,-24455.1521492,301.277309251
12450000,-24256.1807316,300.469397865
12600000,-24328.2678882,306.231672777
