#"Step","Potential Energy (kJ/mole)","Temperature (K)"
12750000,-24284.8670791,307.650502702
12900000,-24202.111265,295.898640358
13050000,-24359.7868582,295.635590911
13200000,-24348.7922725,305.9801606
13350000,-24456.0101511,296.469326159
13500000,-24776.11726,294.22603864
13650000,-24701.9021121,303.09172975
13800000,-24442.2842898,297.948456055
13950000,-24403.5894313,297.959617397
14100000,-24214.3915193,299.080029687
14250000,-24451.8730901,298.508462478
14400000,-24335.2014261,301.759722183
14550000,-24592.6059654,293.868876912
14700000,-24469.0810158,302.999726113
14850000,-24106.429481,302.307185411
15000000,-24367.1649128,307.476968477
15150000,-24706.371074,300.913509792
15300000,-24081.0760215,298.561602728
15450000,-24328.1760171,300.955033596
15600000,-24171.7733848,295.200665481
15750000,-24329.5995622,294.79018859
15900000,-24441.3297544,294.260599933
16050000,-24605.5241693,305.073911617
16200000,-24434.3065975,297.305443838
16350000,-24642.9729935,303.051654537
16500000,-24498.8512422,302.867303326
16650000,-24397.2110088,300.327651239
16800000,-24342.628127,304.010920577
16950000,-24502.158635,298.058920698
17100000,-24353.1961411,294.884770978
17250000,-23914.5969446,300.594796826
17400000,-24707.8759109,298.37762341
17550000,-24349.1500379,300.174411799
17700000,-24293.1213561,294.782690576
17850000,-24578.9975363,298.47211166
18000000,-24153.4873285,306.933082123
18150000,-24337.5431827,295.655078355
18300000,-24565.9731407,294.469414267
18450000,-24630.9306324,305.272010212
18600000,-24594.4421938,296.897721899
18750000,-24309.2224928,307.493800516
18900000,-24421.7583222,306.17016635
19050000,-24175.8941332,291.633208835
19200000,-24039.398776,295.749912665
19350000,-24177.6881643,303.250804368
19500000,-24275.2813366,292.472237885
19650000,-24311.2139265,303.126575227
19800000,-24492.9736994,303.162349909
19950000,-24211.56598,299.211747922
20100000,-24643.2590734,297.962870693
20250000,-24453.9979374,290.56281769
20400000,-24317.0468614,303.333244832
20550000,-24251.9623364,300.729657672
20700000,-24441.9246265,297.108022724
20850000,-24232.0605024,300.612542053
21000000,-24489.1945791,302.829930495
21150000,-24609.5388953,301.468709133
21300000,-24342.4988572,292.354497696
21450000,-24232.4057431,298.663309605
21600000,-24453.8498361,301.993322465
21750000,-24239.84108,299.984271823
21900000,-24584.3113923,300.008885216
22050000,-24509.0362421,311.55390849
22200000,-24312.9610992,301.632584797
22350000,-24884.9077805,298.410843186
22500000,-24244.9957293,294.457705388
22650000,-24347.6458539,291.994608248
22800000,-24606.6799744,303.897031811
22950000,-24399.6997863,294.338371598
23100000,-24366.7999178,297.269998435
23250000,-24906.8104227,296.408740535
23400000,-24475.9470939,297.566508797
23550000,-24529.9896445,304.826262239
23700000,-24426.6742935,297.807638914
23850000,-24843.0840738,302.049360655
24000000,-24395.2220066,299.727600706
24150000,-24548.5093633,308.023970767
24300000,-24740.7045607,294.07456573
24450000,-24631.2706981,300.231293191
24600000,-24526.2201318,304.528954009
24750000,-24726.5833637,301.657588902
24900000,-24460.2624336,305.041855218
25050000,-24421.2393988,302.132236344
25200000,-24373.5485072,303.953804689
25350000,-24741.3271354,291.815669091
25500000,-24709.3926916,297.443326015
25650000,-24334.2128008,300.797999814
25800000,-24172.6517363,296.291136757
25950000,-24259.5358531,294.252784473
26100000,-24701.7252545,300.851289503
26250000,-24600.6188847,294.824065487
26400000,-24719.896885,301.620939696
26550000,-24640.4057948,296.099844077
26700000,-24600.2160198,299.053155957
26850000,-24485.2297291,296.469078303
27000000,-24336.9530443,298.085337592
27150000,-24264.5647071,292.499466644
27300000,-24364.0383112,299.855052817
27450000,-24346.7585813,302.159668627
27600000,-24122.8470521,294.467621869
27750000,-24549.2352381,305.133152446
27900000,-23984.6622245,299.393356415
28050000,-24669.3489437,300.211406353
28200000,-24723.9330934,299.04368211
28350000,-24387.4952492,300.72387656
28500000,-24343.8210133,298.693866497
28650000,-24287.0262895,299.85014519
28800000,-24147.7458024,300.374353482
28950000,-24353.20816,305.440484985
29100000,-24482.5935361,302.339684471
29250000,-24467.7794315,302.431426991
29400000,-24536.6395968,309.685392852
29550000,-24715.2523708,300.289926786
29700000,-24257.4750814,305.972010441
29850000,-24333.5480301,302.239593426
30000000,-24602.5840881,306.287643786
30150000,-24445.0634859,296.68195964
30300000,-24286.3195878,300.801091067
30450000,-24166.5465468,301.458161326
30600000,-24358.3405807,303.543713954
30750000,-24592.7565398,294.712269165
30900000,-24548.7058748,302.29691522
31050000,-24754.9048271,305.144844884
31200000,-24134.671159,299.357384086
31350000,-24462.49046,304.044650747
31500000,-24577.0016465,296.351961793
31650000,-24596.7974148,303.618521607
31800000,-24360.610409,304.107542229
31950000,-24052.5938619,301.622997022
32100000,-24595.7412102,300.786810794
32250000,-25145.6267848,302.149501231
32400000,-24605.9106183,295.506381328
32550000,-24072.7052716,303.426383641
32700000,-24765.0485471,306.866191202
32850000,-24354.2601633,299.298805978
33000000,-24348.0964225,292.310387036
33150000,-24427.0107052,304.672630204
33300000,-24465.8934232,303.746367582
33450000,-24559.8574102,304.036833502
33600000,-24614.8988037,296.704395024
33750000,-24663.4917801,300.946049015
33900000,-24523.1360671,297.034691993
34050000,-24912.0040793,298.499214869
34200000,-24534.4765924,303.631292747
34350000,-24609.5914901,295.263121831
34500000,-24394.3701853,301.518935403
34650000,-24566.849822,296.755125057
34800000,-24551.0228951,303.070586621
34950000,-24795.0134144,298.415966251
35100000,-24626.7625397,305.460236541
35250000,-24661.0636239,297.976470555
35400000,-24424.4349739,287.644249715
35550000,-24535.0854062,302.470061693
35700000,-24616.9657929,298.019521483
35850000,-24606.6911616,296.891448022
36000000,-24372.0520026,298.541162959
36150000,-24469.1498507,297.348934445
36300000,-24517.099124,303.314801744
36450000,-24424.5200542,298.804907396
36600000,-24375.4903669,302.565317714
36750000,-24011.1954246,293.642602608
36900000,-24748.6496081,296.093662617
37050000,-24550.7879086,299.951013547
37200000,-24597.1370863,293.834915325
37350000,-24398.6027917,300.398582882
37500000,-24725.586735,291.778137389
37650000,-24779.407077,303.802228201
37800000,-24656.3936461,299.527098245
37950000,-24395.7681323,295.480494802
38100000,-24460.8611512,297.973760323
38250000,-24573.4704315,298.317943771
38400000,-24457.894876,298.922966309
38550000,-24534.6814696,298.781319045
38700000,-24408.4723465,296.066219206
38850000,-24234.096573,295.039891115
39000000,-24652.5235701,298.768212156
39150000,-24532.6866078,298.937272594
39300000,-24455.5807254,296.172384973
39450000,-24468.6672977,303.029524962
39600000,-24751.9774529,303.15588127
39750000,-24502.647093,296.534461343
39900000,-24842.1702568,303.064421465
40050000,-24492.9469035,306.327316421
40200000,-24628.1105376,302.538804123
40350000,-24418.1261671,299.887198879
40500000,-24388.5023618,303.096909108
40650000,-24584.4304254,303.695921946
40800000,-24320.5439139,301.494992285
40950000,-24676.4258161,295.968693537
41100000,-24688.1545012,301.375137854
41250000,-24579.031408,301.100476263
41400000,-24339.7995889,298.87316254
41550000,-24407.573605,300.686362512
41700000,-24879.9391552,305.341759049
41850000,-24116.3684794,300.638193301
42000000,-24591.3824027,302.34591361
42150000,-24506.4678749,309.639870512
42300000,-24439.5499539,300.959537515
42450000,-24330.4320238,298.529103648
42600000,-24455.3308094,305.433409933
42750000,-24699.3705338,296.592951385
42900000,-24722.6690487,303.256423971
43050000,-24511.5001483,293.676356376
43200000,-24520.8147332,302.4070501
43350000,-24702.4227721,311.000387745
43500000,-24567.0141002,299.175862859
43650000,-24670.9238509,302.563374793
43800000,-24670.5746626,301.690613388
43950000,-24399.704351,299.369598636
44100000,-24768.4264543,300.5464538
44250000,-24422.9546919,305.88803033
44400000,-24910.8655113,298.902385317
44550000,-24737.1067274,304.953793497
44700000,-24296.9356163,303.360606477
44850000,-24525.9485432,305.778969527
45000000,-24751.3911072,299.054652076
45150000,-24405.1303584,294.111263364
45300000,-24877.8707435,299.343899343
45450000,-24534.7128689,301.516608555
45600000,-24476.4872722,302.80064361
45750000,-24773.3748811,302.150344615
45900000,-24674.6235754,296.517591566
46050000,-24647.5572839,298.654236622
46200000,-24583.7655599,290.082489741
46350000,-24836.3352792,295.221891661
46500000,-24606.6282801,302.359873781
46650000,-24710.4737252,309.282762987
46800000,-24755.4413679,297.703124386
46950000,-24771.9677309,305.76419161
47100000,-24992.6782446,295.670057703
47250000,-24670.1293625,299.535708316
47400000,-24668.8485664,299.616131538
47550000,-24841.7040369,299.260144131
47700000,-25250.9540208,305.502727193
47850000,-24985.871254,304.367173352
48000000,-24837.4134753,302.131790423
48150000,-24539.8697988,298.215509094
48300000,-24708.560249,296.684806849
48450000,-24459.0511573,298.381155954
48600000,-24416.5169023,297.631674063
48750000,-24898.6764528,302.432663711
48900000,-24602.4703469,300.797379614
49050000,-24350.4209154,301.488941951
49200000,-24747.2588763,295.25138488
49350000,-24620.0216948,304.573118076
49500000,-24643.8814441,300.13295291
49650000,-24566.694994,306.193232552
49800000,-24724.2244523,304.748527477
49950000,-24413.1177986,297.705376142
50100000,-24372.844519,290.33791774
50250000,-24493.7665302,304.741644528
50400000,-24711.6650371,301.255547753
50550000,-24777.5490658,299.811994567
50700000,-24621.2938654,303.760774229
50850000,-24715.9482425,295.775295053
51000000,-24735.1759517,301.754697016
51150000,-24280.1995136,296.848505403
51300000,-24566.7770345,293.244865916
51450000,-24525.3416885,298.135458193
51600000,-24726.4619629,298.870991024
51750000,-24559.1861302,293.092910134
51900000,-24537.4964711,299.855472164
52050000,-24725.2668106,296.704376147
52200000,-24822.8222656,296.617537817
52350000,-24480.110499,297.699036519
52500000,-24182.5999359,300.652919831
52650000,-24995.6015023,301.447623538
52800000,-24484.1321586,295.398226517
52950000,-24645.1804579,299.792455984
53100000,-24336.4070214,298.390425099
53250000,-24515.9509838,300.630261489
53400000,-24701.3313561,298.764596379
53550000,-24564.697987,303.988626735
53700000,-25065.7790632,293.030743714
53850000,-24612.5323342,294.208060432
54000000,-24637.573212,297.779356397
54150000,-25007.9631429,297.945207733
54300000,-24714.7096442,304.652902245
54450000,-24701.7802789,301.541323903
54600000,-24680.5505195,304.618878878
54750000,-24614.3436191,304.786829376
54900000,-24892.1716447,299.310096675
55050000,-24911.179532,302.558189183
55200000,-24825.76178,307.818227399
55350000,-24141.9687444,301.396455216
55500000,-24566.1771696,306.026511385
55650000,-24492.8381197,299.065147892
55800000,-24727.9714536,307.360981696
55950000,-24824.259753,299.473493993
56100000,-24662.4172985,294.811920694
56250000,-24487.4799546,305.725574426
56400000,-25039.5758302,300.694979191
56550000,-24233.9326731,303.856054767
56700000,-24864.7777897,301.896765914
56850000,-24097.2015965,304.691431794
57000000,-24389.9390977,304.479906275
57150000,-24597.4383594,300.495698723
57300000,-24190.7561331,303.459751126
57450000,-24458.7065692,300.829634111
57600000,-24410.6461086,295.757558267
57750000,-24663.6809152,299.275964641
57900000,-24583.9167629,301.788248844
58050000,-24843.982349,300.46991524
58200000,-24454.1768527,292.877787377
58350000,-24491.6854577,298.843667484
58500000,-24822.5398249,298.318914324
58650000,-24559.8659991,294.48559282
58800000,-24425.45103,297.41592983
58950000,-24607.4890689,299.583562019
59100000,-24603.6159701,299.646730472
59250000,-24859.9040022,300.441372161
59400000,-24336.6305377,296.473517538
59550000,-24765.4629995,300.255141091
59700000,-24771.2672491,304.895960059
59850000,-24551.4655572,305.263023811
60000000,-23873.7270494,301.788749666
60150000,-24897.6664972,294.020657707
60300000,-24598.9260191,299.258533859
60450000,-24807.1036558,300.276086854
60600000,-24705.9069624,299.410037824
60750000,-24702.5053094,302.502098716
60900000,-24855.5869652,304.626657804
61050000,-24452.5423611,295.999688853
61200000,-24763.856904,299.438438827
61350000,-24436.4494077,297.122962889
61500000,-24760.4292388,298.32894572
61650000,-24633.3320118,301.253359738
61800000,-24986.2986528,294.180450061
61950000,-24452.4561908,295.646886601
62100000,-24623.2756992,295.073067907
62250000,-24623.4423661,300.078585926
62400000,-24780.7113399,301.663654299
62550000,-24861.950922,300.981569961
62700000,-24758.4733013,296.620497206
62850000,-24663.3814176,300.768342429
63000000,-24640.1514325,300.795554805
63150000,-24873.0699063,291.438393487
63300000,-24662.4479385,300.682944024
63450000,-24938.1254198,295.284218472
63600000,-24936.0340069,304.480005976
63750000,-24563.7656433,296.477079424
63900000,-24573.6577114,296.547754279
64050000,-24224.6410475,302.183071914
64200000,-24427.6867547,295.698909115
64350000,-24721.3527501,300.143812612
64500000,-24383.7905464,301.538084307
64650000,-24738.3948181,296.661582291
64800000,-24350.2908479,295.114965682
64950000,-24661.7331996,296.019170773
65100000,-24579.7048402,297.565068299
65250000,-24847.6013819,291.733857472
65400000,-24036.3399834,302.731021131
65550000,-24798.8856007,302.297873309
65700000,-24184.0058254,302.255021565
65850000,-24412.7850938,303.902838074
66000000,-24497.8350231,306.288298354
66150000,-24722.512068,298.677164192
66300000,-24687.7526441,307.458435844
66450000,-24534.2719479,299.453555288
66600000,-24891.4877499,298.676976839
66750000,-24595.1459154,306.95752355
66900000,-24914.7299081,303.402209213
67050000,-24813.6966328,306.676205002
67200000,-24453.165963,298.656257881
67350000,-24701.8543016,308.492699065
67500000,-24884.5392626,296.88058429
67650000,-24384.0435857,297.570190701
67800000,-24478.3444701,302.669796736
67950000,-24537.224691,297.593396547
68100000,-24581.2999497,300.636610829
68250000,-24255.6814757,299.439964534
68400000,-24651.810867,301.345168959
68550000,-24026.8583098,293.835072552
68700000,-24788.2627469,302.15860656
68850000,-24622.521329,303.809001817
69000000,-24334.7762232,305.032811949
69150000,-24455.2130976,304.595419602
69300000,-24241.3793363,294.347229365
69450000,-24638.7651832,300.734833557
69600000,-24724.1320807,301.008817432
69750000,-24768.5848594,299.368096026
69900000,-24329.6600559,291.495460419
70050000,-24674.7811335,296.607352615
70200000,-24596.3852916,297.489062899
70350000,-24456.2217972,309.370760361
70500000,-24413.6266519,304.276419185
70650000,-24712.4090469,299.96071408
70800000,-24548.7646666,298.660226912
70950000,-24351.7799227,300.206793826
71100000,-24713.6569271,301.368250289
71250000,-24287.2365674,292.965843188
71400000,-24532.5796969,299.068494761
71550000,-24764.2719902,299.249407066
71700000,-24438.3258124,306.516118024
71850000,-24801.2513936,299.466883189
72000000,-24746.9947669,301.407733768
72150000,-24533.9007129,296.683068053
72300000,-24423.7956649,304.507498912
72450000,-24917.8480569,304.513640088
72600000,-24624.6408795,290.730946559
72750000,-24814.913859,301.427806776
72900000,-24495.1711297,299.59434602
73050000,-24699.1205637,303.074427399
73200000,-24611.4164951,297.64578511
73350000,-24224.7531867,295.728652062
73500000,-24325.8610314,301.904517805
73650000,-24568.3582228,296.812573897
73800000,-24780.8569163,297.754527492
73950000,-24900.0987472,302.263416349
74100000,-24363.8961164,297.864911512
74250000,-24832.8687722,305.739599175
74400000,-24850.5191085,292.037327971
74550000,-24783.0612165,294.746939644
74700000,-24344.2852677,296.801416332
74850000,-24627.9135062,297.322004699
75000000,-24430.0478661,302.244528233
75150000,-24713.5577109,297.262432147
75300000,-24408.17133,297.667759748
75450000,-24743.952042,299.433477168
75600000,-24199.1503012,297.02712198
75750000,-24915.8823953,300.73152881
75900000,-24762.2294384,306.172502669
76050000,-24764.1660076,293.889104819
76200000,-24469.1073301,297.862084508
76350000,-24363.1407038,308.724976686
76500000,-24598.2335151,301.119303948
76650000,-24241.1891575,308.218550875
76800000,-24345.9562621,301.003861333
76950000,-24443.5360817,294.427104301
77100000,-24706.2615935,306.780277799
77250000,-24640.8759427,302.747152438
77400000,-24565.0027277,301.751958258
77550000,-24685.8632246,304.944273097
77700000,-24550.6611438,302.374444827
77850000,-24652.9865668,293.543505192
78000000,-24810.4698912,300.161379808
78150000,-24809.4163255,294.987690009
78300000,-24760.8296993,302.863311584
78450000,-24658.6473172,298.442938288
78600000,-24577.5498765,297.787990816
78750000,-24610.7331388,306.997047399
78900000,-24634.118371,305.107392275
79050000,-24736.1553484,303.477180708
79200000,-24888.9904512,301.271911898
79350000,-24624.0468834,296.430598849
79500000,-24736.1624132,304.774516268
79650000,-24417.985511,306.226430308
79800000,-24747.2145856,296.346483147
79950000,-24556.9810226,297.105545864
80100000,-24707.774639,298.864718337
80250000,-24694.3544843,303.17600072
80400000,-24581.1878795,303.81794432
80550000,-24537.1851257,298.655142614
80700000,-24678.1886259,293.841902271
80850000,-24969.6409274,305.099361455
81000000,-24686.9900209,302.034834166
81150000,-24772.7213044,299.057237997
81300000,-24667.6768967,302.918953991
81450000,-24706.9552622,296.39490431
81600000,-24477.4148538,304.787728678
81750000,-24779.6463616,300.030251576
81900000,-24723.3295878,300.322196258
82050000,-24718.0938566,300.503451416
82200000,-24660.0728919,298.622029371
82350000,-24571.1765896,303.248947529
82500000,-24460.576025,300.694013109
82650000,-24934.4518589,303.670460516
82800000,-24419.978398,297.484530908
82950000,-24744.139337,301.302716288
83100000,-24883.4052576,291.519266002
83250000,-24705.8962872,297.648495396
83400000,-24673.407963,299.062608901
83550000,-24854.7559837,299.325769958
83700000,-24526.4273548,300.956930114
83850000,-24932.1455143,300.494640088
84000000,-24409.763837,303.146530135
84150000,-24536.8567419,303.679583363
84300000,-24545.5713735,305.746747236
84450000,-24410.2061727,293.24355188
84600000,-24318.5268022,297.016315966
84750000,-24860.14515,300.75994854
84900000,-24682.7399462,301.545988425
85050000,-24867.0956181,297.122257563
85200000,-24364.9997899,297.270440605
85350000,-24605.2012179,300.095583089
85500000,-24608.3725586,304.685597241
85650000,-24363.5674165,305.916127833
85800000,-24377.5595122,295.5990951
85950000,-24484.9105692,295.10110332
86100000,-24426.1618312,296.356221948
86250000,-24309.5955713,295.338268968
86400000,-25076.5167206,296.331069636
86550000,-24420.9870734,289.489261263
86700000,-24609.7923623,298.229713664
86850000,-24803.4267191,300.074444561
87000000,-24916.4715203,301.229946242
87150000,-24841.3554301,300.230676783
87300000,-24766.8838111,303.653581694
87450000,-24344.2138794,299.374093815
87600000,-24278.280549,299.27940271
87750000,-24197.1272941,300.741684396
87900000,-24911.7709208,300.195526493
88050000,-24590.2624161,297.216971862
88200000,-24352.5092252,304.548133089
88350000,-24592.0261319,307.105113832
88500000,-24370.848256,298.961692404
88650000,-24454.4969946,296.994199944
88800000,-24565.2506814,303.873888579
88950000,-24457.4324259,295.532058619
89100000,-24806.4713924,299.374388782
89250000,-25184.4415407,307.378956248
89400000,-24272.7609824,305.429839616
89550000,-24622.6116804,309.414846275
89700000,-24947.2929283,300.762018355
89850000,-24563.223771,295.066305097
90000000,-24674.4579465,295.675665365
90150000,-24449.2470166,306.014312481
90300000,-24748.365084,295.753316731
90450000,-24689.8122247,296.646825998
90600000,-24637.9844628,296.981290592
90750000,-24644.0371041,296.086087292
90900000,-24671.4270331,297.833066986
91050000,-25032.0458349,293.876817376
91200000,-24562.5803659,298.564150018
91350000,-24901.5089141,296.782997866
91500000,-24658.7979074,302.119610788
91650000,-24618.0308502,292.960579887
91800000,-24769.9431936,301.868753589
91950000,-24541.4355067,298.846002141
92100000,-24998.9287195,296.513644104
92250000,-24785.0729904,297.350007054
92400000,-24440.1995548,302.037336912
92550000,-24349.6310853,304.272999069
92700000,-24542.3326288,296.515214222
92850000,-24374.0514317,303.305558925
93000000,-24883.9584789,310.891102102
93150000,-24526.4903805,304.666602513
93300000,-24789.2182164,302.355835363
93450000,-24544.6616629,299.122800139
93600000,-24618.7979328,301.93694661
93750000,-24605.0936398,294.315515172
93900000,-24346.238225,299.415379857
94050000,-24325.3795987,304.15856699
94200000,-24379.7398085,300.938563875
94350000,-24620.9060643,297.958774771
94500000,-24312.4436166,310.008551093
94650000,-24428.869375,295.7770822
94800000,-24342.1193426,298.884260212
94950000,-24538.9242913,290.126697795
95100000,-24677.4434635,302.400535104
95250000,-24473.9524609,296.218345162
95400000,-24837.3668412,299.972280783
95550000,-24909.0160177,298.578450207
95700000,-24568.8958274,300.483969342
95850000,-25039.2097384,291.370856229
96000000,-24550.6573317,304.962424316
96150000,-24210.3307707,296.699128622
96300000,-24370.8677906,302.973990626
96450000,-24588.7856402,301.473150658
96600000,-24752.8654769,298.343092442
96750000,-24561.5540504,298.580183127
96900000,-24514.2943845,302.086999351
97050000,-24748.6826178,304.54726926
97200000,-24686.5273506,296.523955767
97350000,-24480.2033721,299.737015802
97500000,-24330.2545022,300.775978812
97650000,-24475.6095254,299.322161308
97800000,-23899.331606,297.523048199
97950000,-24252.281601,300.708591655
98100000,-24244.3060463,300.715682087
98250000,-24037.9628756,298.573810749
98400000,-24353.6730167,296.432744481
98550000,-24474.3155951,298.35892977
98700000,-24337.5979406,297.004693223
98850000,-24514.5647353,292.513085767
99000000,-24566.9284681,296.415100934
99150000,-24621.9534543,291.079927026
99300000,-24404.0059713,309.233025427
99450000,-24737.402849,305.234197083
99600000,-24787.1641555,297.184628865
99750000,-24476.7248604,296.034463236
99900000,-24670.4283389,299.76864746
100050000,-24827.3424375,302.677175544
100200000,-24923.1274762,300.985820683
100350000,-24619.6833426,298.716428034
100500000,-24369.9431667,299.37613624
100650000,-24490.457303,300.08530964
100800000,-24625.071222,300.507234444
100950000,-24851.3756491,300.195413379
101100000,-24730.8094788,295.037998173
101250000,-24606.4758072,300.745342932
101400000,-24651.1436236,292.785164038
101550000,-24533.1130679,293.438902627
101700000,-24738.9801509,298.751583858
101850000,-24623.4943055,309.060786469
102000000,-24650.6801478,294.267969031
102150000,-24742.0223788,300.533894793
102300000,-24319.765758,294.138153727
102450000,-24667.6539746,296.280255532
102600000,-24413.12895,306.154677393
102750000,-24631.8994133,305.21857542
102900000,-24662.569191,303.012475955
103050000,-24079.0850187,303.430301156
103200000,-24663.0720502,299.756888381
103350000,-24521.318144,301.879975512
103500000,-24605.5124093,297.970728394
103650000,-24583.1482512,296.175013514
103800000,-24644.0985014,303.451598823
103950000,-24593.3776382,295.889485638
104100000,-24718.3523783,299.419704734
104250000,-24699.3199043,295.992846343
104400000,-24367.3814131,310.861276326
104550000,-24134.6226647,300.301764376
104700000,-24347.927166,296.129340035
104850000,-24358.8702077,296.875866501
105000000,-24277.9478358,306.498275399
105150000,-24345.7534576,300.326267419
105300000,-24685.5584121,304.867444577
105450000,-24377.9944575,302.98496009
105600000,-24482.8194496,295.706262703
105750000,-24687.3644101,304.993684575
105900000,-24297.6957888,302.168320513
106050000,-24363.0314049,295.640754083
106200000,-24617.6111598,295.192470829
106350000,-24573.3494954,295.830232034
106500000,-24967.3759177,296.230391645
106650000,-24306.0301303,302.957896557
106800000,-24688.5902998,296.705575485
106950000,-24287.7327198,307.741464876
107100000,-24262.702489,300.584697328
107250000,-24396.0943133,301.789243633
107400000,-24724.9591527,292.175350911
107550000,-24549.2341551,304.476755737
107700000,-24670.3997846,296.661398144
107850000,-24033.5288036,298.791031147
108000000,-24420.5453056,296.569418532
108150000,-24776.8017085,302.713679007
108300000,-24373.5001019,296.225953808
108450000,-24352.3517977,300.482310903
108600000,-24739.4582328,304.042058333
108750000,-24048.0308843,294.066912284
108900000,-24531.6674522,300.191905908
109050000,-24401.1288241,304.080545136
109200000,-24854.8444458,303.512201075
109350000,-24574.7568133,304.895572304
109500000,-24610.1636281,297.815183435
109650000,-24788.5324587,301.512404386
109800000,-24589.9174092,300.600792941
109950000,-24946.7773705,300.475612785
110100000,-24583.0587128,292.711450252
110250000,-24658.865678,300.813974537
110400000,-24655.8842699,302.198399735
110550000,-24195.0741272,301.033997063
110700000,-24238.729061,301.307760943
110850000,-24711.1747775,302.729357014
111000000,-24559.293639,300.645693994
111150000,-24637.8061566,302.481126207
111300000,-24817.5913841,301.155332752
111450000,-24739.9547625,299.927039024
111600000,-24551.8333295,300.248787429
111750000,-24826.0035021,299.310257974
111900000,-24257.8140788,293.795496157
112050000,-24882.7580845,299.768539547
112200000,-24437.1867433,294.535888681
112350000,-24616.5259073,306.832639303
112500000,-24388.1903623,301.911084334
112650000,-24475.6356995,303.265070295
112800000,-24936.1632216,294.822430948
112950000,-24556.9504565,304.056146794
113100000,-24544.5191105,296.567530904
113250000,-24647.9342792,298.952304775
113400000,-24733.2032004,298.771547383
113550000,-24963.7476374,299.184120823
113700000,-24566.5494186,299.329183304
113850000,-24453.4584869,303.826675224
114000000,-24767.4794166,296.467930386
114150000,-24621.889687,304.512455588
114300000,-24662.0044506,303.122932383
114450000,-24639.612509,304.00698877
114600000,-24985.9014577,300.238037355
114750000,-24667.0532508,291.374032789
114900000,-25013.4808508,304.054926965
115050000,-24513.6731455,301.033541704
115200000,-24757.2916311,299.642006801
115350000,-24801.6807951,294.081247673
115500000,-24816.4032121,302.548579979
115650000,-24812.0890231,297.249898172
115800000,-25050.5472504,294.399962309
115950000,-25014.2724959,294.326976031
116100000,-24949.3610494,298.347322753
116250000,-24713.4092964,295.066950766
116400000,-24567.0184627,301.422293249
116550000,-24982.4129736,293.013703263
116700000,-24636.3414542,303.994451718
116850000,-24923.5775858,300.408147787
